ticker,name,sector,lei
CCEP,Coca-Cola Europacific Partners,Beverages,549300LTH67W4GWMRF57
CCH,Coca-Cola HBC,Beverages,549300EFP3TNG7JGVE49
CPG,Compass Group,Support services,2138008M6MH9OZ6U2T68
CCC,Computacenter,Software & Computer Services,549300XSXUZ1I19DB105
CTEC,Convatec,Health care equipment & supplies,213800LS272L4FIDOH92
CORD,Cordiant Digital Infrastructure,Investment Trusts,
COST,Costain Group,Engineering and Construction,213800PKIJBZ2EDTKC88
CWK,Cranswick,Food Producers,549300LDZLPU51XOSK43
CRDA,Croda International,Chemicals,2138004WCNBFJEEOXV26
CURY,Currys,Retailers,2138001E12GWLLDQQF16
CVSG,CVS Group,Health Care,
DCC,DCC Energy,Support services,
DLN,Derwent London,Real Estate Investment Trusts,
DGE,Diageo,Beverages,213800ZVIELEA55JMJ32
DPLM,Diploma,Industrial Support services,2138008OGI7VYG8FGR19
DSCV,discoverIE,Support Services,213800BMDLQU1VEEAN68
DOM,Domino's Pizza,Travel & Leisure,213800Q6ZKHAOV48JL75
DOCS,Dr. Martens,Retailers,213800QPT8YM6NQZPH28
DRX,Drax Group,Electricity,549300YPSNTXR4ZHSR98
DNLM,Dunelm Group,Retailers,213800WCOWEI3T5DUV19
EZJ,EasyJet,Travel and Leisure,2138001S47XKWIB7TH90
EDIN,Edinburgh Investment Trust,Investment Trusts,
EWI,Edinburgh Worldwide Investment Trust,Investment Trusts,
ELM,Elementis,Chemicals,549300LQIH685LI2ML36
EDV,Endeavour Mining,Mining,529900NI5MXQ91GHXR07
ENOG,Energean,Oil & Gas Producers,549300RVMKU0CYUZBB05
ENT,Entain,Travel & leisure,213800GNI3K45LQR8L28
ESCT,European Smaller Companies Trust,Investment Trusts,
EWG,Eurowag,Financial Services,
EXPN,Experian,Support services,635400RXXHHYT1JTSZ26
FCIT,F & C Investment Trust,Collective investments,
FCSS,Fidelity China Special Situations,Investment Trusts,
FEML,Fidelity Emerging Markets,Investment Trusts,
FEV,Fidelity European Trust,Investment Trusts,
FSV,Fidelity Special Values,Investment Trusts,
FGT,Finsbury Growth & Income Trust,Equity Investments,
FGP,FirstGroup,Travel & Leisure,549300DEJZCPWA4HKM93
FGEN,Foresight Environmental Infrastructure,Investment Trusts,
FSG,Foresight Group,Investment Banking and Brokerage Services,213800NNT42FFIZB1T09
FRAS,Frasers Group,Retailers,213800JEGHHEAXIJDX34
FRES,Fresnillo plc,Mining,549300JXWH1UV5J0XV81
FCH,Funding Circle,Financial Services,2138003EK6UAINBBUS19
GFRD,Galliford Try,Construction,213800MR6DRHCJIV8113
GAW,Games Workshop,Leisure Goods,213800RP9QJQYGWHNT41
GAMA,Gamma Communications,Telecommunications,213800LAQZXPRIZUEH50
GBG,GB Group,Software and Computer Services,213800RBAFZIBCV7XR29
GCP,GCP Infrastructure Investments,General Financial,
GEN,Genuit Group,Construction & Materials,2138005IF1N2RKJ6KO18
GNS,Genus,Pharmaceuticals & Biotechnology,54930022EOITNKSIGH56
GLEN,Glencore,Mining,2138002658CPO9NBH955
GSCT,Global Smaller Companies Trust,Investment Trusts,
DATA,GlobalData,Industrial Goods and Services,213800ZJ9F2EA3Q24K05
GDWN,Goodwin,General Industrials,213800N4T1NMSJ57B322
