exchange,ticker,name,sector,website,lei,wikidata,hq_city,hq_latitude,hq_longitude
NZX,TLL,MOVe Logistics Group,,,,,,,
NZX,TLT,Tilt Renewables,energy industry,http://www.tiltrenewables.com/,,Q29025700,Melbourne,-37.81417,144.96306
NZX,TPW,Trustpower,energy industry,https://www.manawaenergy.co.nz/,,Q2456640,Tauranga,-37.68583,176.16667
NZX,TRA,Turners Automotive Group,,,,,,,
NZX,TRU,TruScreen Limited,,,,,,,
NZX,TWR,Tower Insurance,,http://www.tower.co.nz/,,Q17067545,Auckland,-36.84917,174.76528
NZX,VCT,Vector,energy industry,https://www.vector.co.nz/,,Q7917807,Auckland,-36.84917,174.76528
NZX,VGL,Vista Group International,film industry,http://www.vistagroup.co.nz/,,Q7936439,Auckland,-36.84917,174.76528
NZX,VHP,Vital Healthcare Property Trust,,,,,,,
NZX,VTL,Vital Limited,,,,,,,
NZX,WCO,WasteCo,,,,,,,
NZX,WDT,Wellington Drive Technologies,,,,Q7981385,,,
NZX,WHS,The Warehouse Group,retail,https://thewarehousegroup.co.nz/,,Q3566291,Auckland,-36.84917,174.76528
NZX,WIN,Winton Land,,,,,,,
NZX,ZEL,Z Energy,petroleum industry,https://z.co.nz/,,Q8063337,Wellington,-41.28889,174.77722
