zip,city,state,latitude,longitude
BT23,Newtownards,UK,54.59240,-5.69090
BT24,Ballynahinch,UK,54.43023,-5.85700
BT25,Dromore,UK,54.38668,-6.06333
BT26,Hillsborough,UK,54.46350,-6.07660
BT27,Hillhall,UK,54.52230,-6.00710
BT28,Lisburn,UK,54.54210,-6.15620
BT29,Belfast,UK,54.61506,-6.15071
BT3,Belfast City Airport,UK,54.58330,-5.93330
BT30,Downpatrick,UK,54.31702,-5.68341
BT31,Castlewellan,UK,54.26685,-5.99275
BT32,Banbridge,UK,54.31041,-6.21872
BT33,Dundrum,UK,54.23473,-5.88997
BT34,Annalong,UK,54.14642,-6.12113
BT35,Newtownhamilton,UK,54.17227,-6.45527
BT36,Newtownabbey,UK,54.67553,-5.94830
BT37,Newtownabbey,UK,54.65980,-5.90860
BT38,Carrickfergus,UK,54.73284,-5.78090
BT39,Straid,UK,54.73890,-6.02777
BT4,Belfast,UK,54.59566,-5.88056
BT40,Islandmagee,UK,54.84519,-5.81550
BT41,Randalstown,UK,54.70416,-6.19582
BT42,Ballymena,UK,54.86234,-6.27314
BT43,Knockanully,UK,54.93787,-6.21990
BT44,Ballymena,UK,54.98460,-6.24794
BT45,Desertmartin,UK,54.77112,-6.62858
BT46,Upperlands,UK,54.87380,-6.66012
BT47,Derry,UK,54.94983,-7.08418
BT48,The Collon,UK,55.02711,-7.28090
BT49,Ballykelly,UK,55.04735,-6.98460
BT5,Castlereagh,UK,54.58087,-5.87531
BT51,Ringsend,UK,55.06417,-6.69752
BT52,Cloyfin,UK,55.14167,-6.64170
BT53,Ballymoney,UK,55.10523,-6.46920
BT54,Maghernahar,UK,55.19017,-6.24782
BT55,Portstewart,UK,55.18130,-6.71400
BT56,Craigahullier,UK,55.19590,-6.64930
BT57,Dunseverick,UK,55.21807,-6.49972
BT58,Child Support Agency,UK,55.05910,-6.43420
BT6,Woodstock,UK,54.57280,-5.89087
BT60,Keady,UK,54.29743,-6.77993
BT61,Armagh,UK,54.38890,-6.60558
BT62,Clare,UK,54.41166,-6.41906
BT63,Portadown,UK,54.40035,-6.39960
BT64,Mandeville,UK,54.44677,-6.38970
BT65,Craigavon,UK,54.44710,-6.38700
BT66,Waringstown,UK,54.45331,-6.34893
BT67,Craigavon,UK,54.48503,-6.28717
BT68,Caledon,UK,54.35000,-6.83330
BT69,Aughnacloy,UK,54.42500,-6.95000
BT7,Botanic,UK,54.58144,-5.91850
BT70,Dungannon,UK,54.51206,-6.93335
BT71,Ardboe,UK,54.52466,-6.67319
BT74,Enniskillen,UK,54.33975,-7.72065
BT75,Clabby,UK,54.39165,-7.34165
BT76,Clogher,UK,54.41670,-7.20000
BT77,Augher,UK,54.43330,-7.15000
BT78,Killynure,UK,54.55272,-7.33753
BT79,Omagh,UK,54.63128,-7.20561
BT8,Newtownbreda,UK,54.55042,-5.90680
BT80,Cookstown,UK,54.63100,-6.69863
BT81,Spamount,UK,54.63177,-7.47101
BT82,Ballymagorry,UK,54.82063,-7.43359
BT9,Malone,UK,54.57500,-5.92500
BT92,Newtownbutler,UK,54.24056,-7.50428
BT93,Derrygonnelly,UK,54.44256,-7.86492
BT94,Enniskillen,UK,54.37160,-7.54299
CA1,Carleton,UK,54.89065,-2.92565
CA10,Brougham,UK,54.63107,-2.64229
CA11,Unthank,UK,54.62787,-2.83272
CA12,Keswick,UK,54.58924,-3.16295
CA13,Bridekirk,UK,54.65546,-3.36078
CA14,Branthwaite,UK,54.63002,-3.50065
CA15,Crosscanonby,UK,54.72932,-3.45939
CA16,Dufton,UK,54.56701,-2.47641
CA17,Brough Sowerby,UK,54.48879,-2.34363
CA18,Broad Oak,UK,54.35483,-3.39707
CA19,Beckfoot,UK,54.38707,-3.37791
CA2,Durdar,UK,54.86950,-2.95160
CA20,Sellafield,UK,54.41947,-3.47418
CA21,Beckermet,UK,54.45000,-3.51670
CA22,Haile,UK,54.46528,-3.52620
CA23,Ennerdale Bridge,UK,54.51100,-3.50377
CA24,Moor Row,UK,54.51520,-3.53730
CA25,Wath Brow,UK,54.52140,-3.51590
CA26,Kirkland,UK,54.54850,-3.47625
CA27,St Bees,UK,54.49180,-3.58990
CA28,Parton,UK,54.55782,-3.58370
CA3,Stanwix,UK,54.90757,-2.94077
CA4,Castle Carrock,UK,54.84503,-2.79986
CA5,Moorhouse,UK,54.85615,-3.01981
CA6,Greenhead,UK,54.99652,-2.77219
CA7,Waverton,UK,54.80358,-3.16162
CA8,Banks,UK,54.96666,-2.70711
CA9,Ayle,UK,54.79800,-2.41460
CA95,Workington,UK,54.64250,-3.54410
CA99,Carlisle,UK,54.89510,-2.93820
CB1,Linton,UK,52.19619,0.14833
CB10,Hinxton,UK,52.03343,0.26823
CB11,Arkesden,UK,51.98419,0.18755
CB2,Little Shelford,UK,52.18965,0.12402
CB21,Shudy Camps,UK,52.12763,0.28709
CB22,Cambridge,UK,52.13283,0.13419
CB23,Lolworth,UK,52.21715,-0.01011
CB24,Milton,UK,52.27169,0.08066
CB25,Waterbeach,UK,52.26067,0.23742
CB3,Bar Hill,UK,52.21142,0.09832
CB4,Westwick,UK,52.22381,0.13153
CB5,Lode,UK,52.21305,0.15498
CB6,Little Thetford,UK,52.39729,0.20016
CB7,Stuntney,UK,52.35711,0.33700
CB8,Stradishall,UK,52.20595,0.44596
CB9,Haverhill,UK,52.09591,0.45676
CF10,Cardiff,UK,51.48000,-3.18000
CF11,Cardiff,UK,51.48000,-3.18000
CF14,Cardiff,UK,51.51990,-3.20400
CF15,Cardiff,UK,51.53370,-3.27210
CF23,Cardiff,UK,51.51440,-3.15450
CF24,Cardiff,UK,51.48000,-3.18000
CF3,Began,UK,51.52382,-3.08913
CF30,Llanrumney Community,UK,51.51960,-3.11960
CF31,Newcastle,UK,51.50767,-3.57773
CF32,Aberkenfig,UK,51.53670,-3.59313
CF33,North Cornelly,UK,51.52158,-3.69718
CF34,Dyffryn,UK,51.60306,-3.64850
CF35,Coity,UK,51.51868,-3.52755
CF36,Nottage,UK,51.48453,-3.69510
CF37,Pontypridd,UK,51.61382,-3.35981
CF38,Efail Isaf,UK,51.55430,-3.34528
CF39,Gilfach Goch,UK,51.59881,-3.44798
CF40,Tonypandy,UK,51.62732,-3.46188
CF41,Pentre,UK,51.65430,-3.49130
CF42,Cwm-parc,UK,51.66798,-3.52478
CF43,Tylorstown,UK,51.66792,-3.46710
CF44,Ystradfellte,UK,51.73271,-3.48293
CF45,Abercynon,UK,51.66452,-3.35370
CF46,Nelson,UK,51.67408,-3.30160
CF47,Merthyr Tydfil,UK,51.74790,-3.37780
CF48,Abercanaid,UK,51.73028,-3.37198
CF5,St Fagans,UK,51.47188,-3.27582
CF61,Boverton,UK,51.41158,-3.49100
CF62,Barry,UK,51.40270,-3.37145
CF63,Cadoxton,UK,51.41720,-3.26140
CF64,Penarth,UK,51.42878,-3.21045
CF71,Llanmihangel,UK,51.45726,-3.47230
CF72,Brynna,UK,51.53015,-3.40842
CF81,Bargoed,UK,51.71048,-3.26500
CF82,Cefn Hengoed,UK,51.64832,-3.23907
CF83,Llanbradach,UK,51.59288,-3.23338
CF91,Grangetown Community,UK,51.46560,-3.19390
CF95,Castle Community,UK,51.48120,-3.17100
CF99,Butetown Community,UK,51.46440,-3.16170
CH1,Chester,UK,53.22390,-2.94344
CH2,Bridge Trafford,UK,53.25357,-2.85961
CH25,Wirral,UK,53.39700,-3.01190
CH26,Wirral,UK,53.36570,-3.06590
CH27,Wirral,UK,53.42020,-3.03920
CH28,Wirral,UK,53.37620,-3.10500
CH29,Wirral,UK,53.39030,-3.17940
CH3,Hargrave,UK,53.15445,-2.80734
CH30,Wirral,UK,53.37620,-3.10500
CH31,Wirral,UK,53.32970,-3.09890
CH32,Wirral,UK,53.36190,-2.99760
CH33,Neston,UK,53.28330,-3.05000
CH34,Cheshire West and Chester,UK,53.28630,-2.91280
CH4,Dodleston,UK,53.15807,-2.95347
CH41,Seacombe,UK,53.40150,-3.01630
CH42,Birkenhead,UK,53.37890,-3.01397
CH43,Prenton,UK,53.38423,-3.06243
CH44,Wallasey,UK,53.42320,-3.06500
CH45,Wallasey,UK,53.42825,-3.04915
CH46,Wirral,UK,53.38810,-3.11085
CH47,Hoylake,UK,53.39050,-3.18070
CH48,Greasby,UK,53.36928,-3.16568
CH49,Wirral,UK,53.37540,-3.09610
CH5,Shotton,UK,53.19930,-3.03614
CH6,Bagillt,UK,53.25512,-3.14890
CH60,Gayton,UK,53.32683,-3.09623
CH61,Pensby,UK,53.36262,-3.11880
CH62,Wirral,UK,53.33390,-2.98150
CH63,Wirral,UK,53.34440,-3.01240
CH64,Neston,UK,53.28330,-3.05000
CH65,Ellesmere Port,UK,53.27870,-2.90130
CH66,Ellesmere Port,UK,53.27700,-2.93630
CH7,Tafarn-y-Gelyn,UK,53.17210,-3.16312
CH70,Cheshire West and Chester,UK,53.19280,-2.92260
CH8,Gorsedd,UK,53.29390,-3.26102
